task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
84	a1/fd6233	83002	publishOutputs (13)	COMPLETED	0	2021-11-23 19:51:54.387	3.5s	132ms	8.0%	0	0	65.8 KB	192 B
82	3d/9cdc1e	82927	fitMtratio (sub-invivo2_ses-vendorPRIrev)	COMPLETED	0	2021-11-23 19:51:37.598	27.1s	24.3s	18.9%	161.1 MB	379.3 MB	100.6 MB	73.5 MB
85	55/e1420c	83001	prepStat (sub-invivo2_ses-rthSKYrev)	COMPLETED	0	2021-11-23 19:51:54.382	13.7s	10.4s	16.3%	119.6 MB	306 MB	58.1 MB	50.6 MB
86	00/58002c	83122	publishStat (13)	COMPLETED	0	2021-11-23 19:52:09.103	131ms	0ms	-	-	-	-	-
83	84/ef563b	82928	fitMtsat (sub-invivo2_ses-vendorPRIrev)	COMPLETED	0	2021-11-23 19:51:37.601	45.5s	42.7s	22.1%	197.4 MB	414.4 MB	95.7 MB	77.4 MB
87	13/aa7c89	83167	publishOutputs (14)	COMPLETED	0	2021-11-23 19:52:24.093	2.8s	100ms	12.9%	2.9 MB	3.9 MB	65.8 KB	193 B
88	cb/223eb4	83166	prepStat (sub-invivo2_ses-vendorPRIrev)	COMPLETED	0	2021-11-23 19:52:24.089	11.2s	8.5s	21.3%	119.2 MB	306 MB	57.5 MB	50.7 MB
89	58/3e3f8e	83275	publishStat (14)	COMPLETED	0	2021-11-23 19:52:36.330	89ms	0ms	-	-	-	-	-
15	4f/0bc462	82487	preprocessMtsat (sub-invivo2_ses-rth750revrx)	COMPLETED	0	2021-11-23 19:46:47.673	5m 50s	5m 46s	40.6%	164.9 MB	349.1 MB	86.8 MB	66.3 MB
90	17/872f11	83344	fitMtratio (sub-invivo2_ses-rth750revrx)	COMPLETED	0	2021-11-23 19:52:38.370	18.3s	15.9s	24.5%	160.8 MB	379.3 MB	100.2 MB	73.4 MB
91	a6/1e2759	83345	fitMtsat (sub-invivo2_ses-rth750revrx)	COMPLETED	0	2021-11-23 19:52:38.376	31.7s	29.2s	30.0%	196.8 MB	414.5 MB	142.6 MB	112.2 MB
92	63/45d4e4	83427	publishOutputs (15)	COMPLETED	0	2021-11-23 19:53:11.062	2.1s	17ms	16.7%	0	0	65.8 KB	193 B
93	55/b5909d	83426	prepStat (sub-invivo2_ses-rth750revrx)	COMPLETED	0	2021-11-23 19:53:11.057	6.8s	5.2s	30.3%	119.6 MB	306 MB	58.2 MB	50.8 MB
94	8e/2d9886	83547	publishStat (15)	COMPLETED	0	2021-11-23 19:53:18.890	67ms	0ms	-	-	-	-	-
16	6c/7d59f2	82781	preprocessMtsat (sub-invivo2_ses-rth750rev)	COMPLETED	0	2021-11-23 19:51:00.566	5m 3s	5m 1s	38.6%	160 MB	349.1 MB	87.2 MB	66.5 MB
95	2e/ba6e7b	83600	fitMtratio (sub-invivo2_ses-rth750rev)	COMPLETED	0	2021-11-23 19:56:03.390	20.4s	17.8s	23.5%	161.2 MB	379.3 MB	100.3 MB	73.4 MB
96	30/074e68	83603	fitMtsat (sub-invivo2_ses-rth750rev)	COMPLETED	0	2021-11-23 19:56:03.396	33.8s	31.6s	29.8%	196.7 MB	414.5 MB	142.8 MB	112.3 MB
98	7d/8348f2	83722	publishOutputs (16)	COMPLETED	0	2021-11-23 19:56:37.249	3s	74ms	16.7%	0	0	65.8 KB	193 B
97	7a/d8d8ad	83717	prepStat (sub-invivo2_ses-rth750rev)	COMPLETED	0	2021-11-23 19:56:37.235	8.1s	5.1s	29.9%	89.1 MB	276 MB	58 MB	51 MB
99	04/447a5d	83826	publishStat (16)	COMPLETED	0	2021-11-23 19:56:45.362	83ms	0ms	-	-	-	-	-
18	1e/e19ece	83314	preprocessMtsat (sub-invivo2_ses-rthPRIrev)	COMPLETED	0	2021-11-23 19:52:37.359	6m 18s	6m 15s	45.0%	169.8 MB	353 MB	87.5 MB	66.9 MB
101	8a/50a267	83871	fitMtratio (sub-invivo2_ses-rthPRIrev)	COMPLETED	0	2021-11-23 19:58:54.992	18.3s	16.2s	27.5%	161.3 MB	379.3 MB	100.8 MB	73.7 MB
100	9e/496649	83872	fitMtsat (sub-invivo2_ses-rthPRIrev)	COMPLETED	0	2021-11-23 19:58:55.003	32.2s	30.3s	36.9%	196.5 MB	414.5 MB	143.3 MB	112.7 MB
102	fb/ebf531	83965	publishOutputs (17)	COMPLETED	0	2021-11-23 19:59:27.260	2.5s	74ms	12.9%	0	0	65.8 KB	193 B
103	91/cf995f	83959	prepStat (sub-invivo2_ses-rthPRIrev)	COMPLETED	0	2021-11-23 19:59:27.240	7.9s	5.6s	32.0%	119.7 MB	306 MB	58.2 MB	51 MB
104	0c/5d309c	84070	publishStat (17)	COMPLETED	0	2021-11-23 19:59:35.119	83ms	0ms	-	-	-	-	-
17	a8/5ac88b	82897	preprocessMtsat (sub-invivo2_ses-vendor750rev)	COMPLETED	0	2021-11-23 19:51:36.593	8m 8s	8m 6s	43.5%	220 MB	390.8 MB	41.7 MB	64.1 MB
105	07/738d6a	84110	fitMtratio (sub-invivo2_ses-vendor750rev)	COMPLETED	0	2021-11-23 19:59:44.402	11.9s	9.2s	44.8%	201.1 MB	419.3 MB	137.4 MB	101.3 MB
106	fb/507ae1	84111	fitMtsat (sub-invivo2_ses-vendor750rev)	COMPLETED	0	2021-11-23 19:59:44.409	20.7s	18.9s	51.6%	249.6 MB	467.4 MB	130.7 MB	106.8 MB
107	bd/b098f7	84207	publishOutputs (18)	COMPLETED	0	2021-11-23 20:00:05.098	2s	11ms	50.0%	0	0	65.8 KB	193 B
108	2a/4b4a53	84205	prepStat (sub-invivo2_ses-vendor750rev)	COMPLETED	0	2021-11-23 20:00:05.088	5.4s	3.6s	58.7%	115.6 MB	302 MB	79.6 MB	69.7 MB
109	8e/420991	84314	publishStat (18)	COMPLETED	0	2021-11-23 20:00:10.532	81ms	0ms	-	-	-	-	-
19	6a/20d50c	83599	preprocessMtsat (sub-invivo2_ses-vendorSKYrev)	COMPLETED	0	2021-11-23 19:56:03.379	4m 27s	4m 24s	50.0%	160 MB	350.6 MB	29.4 MB	44.1 MB
110	56/d4c564	84355	fitMtratio (sub-invivo2_ses-vendorSKYrev)	COMPLETED	0	2021-11-23 20:00:30.230	7.6s	5.6s	67.0%	160.9 MB	379.3 MB	96.9 MB	71.7 MB
111	97/b5a1e8	84356	fitMtsat (sub-invivo2_ses-vendorSKYrev)	COMPLETED	0	2021-11-23 20:00:30.237	12s	9.8s	78.0%	197.1 MB	414.5 MB	92.2 MB	75.7 MB
112	b5/f0ded2	84438	publishOutputs (19)	COMPLETED	0	2021-11-23 20:00:42.232	1.9s	21ms	44.4%	0	0	65.8 KB	193 B
113	bd/d6d776	84437	prepStat (sub-invivo2_ses-vendorSKYrev)	COMPLETED	0	2021-11-23 20:00:42.226	3.7s	2.1s	86.9%	74.6 MB	261 MB	57.8 MB	50.9 MB
114	13/6c49de	84544	publishStat (19)	COMPLETED	0	2021-11-23 20:00:45.906	67ms	0ms	-	-	-	-	-
